expt,subjectID,site,stimulus,task,attention,AUC,alphaC,betaC,gammaC,lambdaC,alphaA,betaA,gammaA,lambdaA,alphaR,betaR,gammaR,lambdaR
1,S0002,0,1,0,-1,0.141155369850226,0.173007775381406,2.02560806486711,7.16123698111645e-13,0.145086738456212,0.175575890009399,3.01612412532743,0.5,0.188127520574509,0.985373193165329,0.671593071338604,1.43224739622329e-12,0.77121485475991
1,S0004,0,1,0,-1,0.0690056986800195,0.150968610425224,3.36317922113881,0.103997101563019,0.29594710726008,0.123874425496858,4.49048155512274,0.5,0.262541222420619,1.21872299160777,0.748957362335025,0.207994203126039,1.12724053210182
1,S0005,0,1,0,-1,0.362433648953749,0.0703051724384049,2.31428971301616,0.223916393704939,0.0274102805994226,0.117556166239738,4.09372771121068,0.5,0.0727028471236404,0.598056016007091,0.5653257559555,0.447832787409878,0.377017980503679
1,S0006,0,1,0,-1,0.0845253353220367,0.273083870936652,3.13353774575028,2.70581058776567e-12,0.523404708819202,0.396145990115031,4.26625381360967,0.5,0.271294139730732,0.689351597014412,0.734493980586447,5.41162117553134e-12,1.92928866557419
1,S0007,0,1,0,-1,0.300278350677296,0.121238245944573,2.47896969927749,2.04509702762241e-14,0.0717871049105153,0.183607018371808,3.50957304826465,0.5,0.0812424257511385,0.660313788763036,0.706345092461673,4.09019405524482e-14,0.883615970926488
1,S0008,0,1,0,-1,0.267582999660102,0.159545496983083,2.22859874089943,3.64438169229313e-15,0.137055523574012,0.26000646781294,2.40726424704938,0.5,0.0388429848034052,0.613621262290548,0.925780683874259,7.28876338458627e-15,3.52844984152703
1,S0010,0,1,0,-1,0.288998411745523,0.102808636055983,1.31018362227219,8.47086097254348e-13,0.0657618772913231,0.179393289920012,2.66165119938334,0.5,0.0639512981698578,0.573090755522815,0.49224467224546,1.6941721945087e-12,1.02831184312563
1,S0011,0,1,0,-1,0.353060723176473,0.0701431804420149,1.40530183752765,3.55933691781298e-11,1.012542004144e-06,0.139229280851225,6.39625061609169,0.5,0.0961901863013738,0.503796184345498,0.219707125607648,7.11867383562596e-11,1.05264584993276e-05
1,S0012,0,1,0,-1,0.252293293851189,0.180751054417948,2.10481949161774,2.58340723366605e-13,0.190809456309226,0.622327033995378,1.80283787061311,0.5,0.093079441401082,0.290443841492013,1.16750348210842,5.1668144673321e-13,2.0499634875012
1,S0013,0,1,0,-1,0.301019362978484,0.145264344017514,2.45935456167946,1.09217217679304e-06,0.0504395062798688,0.256449191265809,2.16184117599835,0.5,0.0837267335257419,0.566444929307452,1.13762037146125,2.18434435358607e-06,0.602430121848251
1,S0014,0,1,0,-1,0.348503895289585,0.126079054557868,5.04637099838354,0.0384570192310494,0.0328866104825925,0.172738333748617,3.58999388847682,0.5,0.0226672428874277,0.729884628511864,1.40567676579657,0.0769140384620988,1.45084299162087
1,S0015,0,1,0,-1,0.315184738798726,0.107139836971456,2.62782819142887,1.25287807227743e-13,0.0493607088458925,0.16936748793595,2.73030017342825,0.5,0.0605262855359662,0.632587979411806,0.962468602171782,2.50575614455485e-13,0.815525162477733
