site,att,subjectID,contrast,pCorrect,pSeen
0,-1,1,1,-1,0.0476190476190476
0,-1,1,2,0.4375,0.0625
0,-1,1,3,0.541666666666667,0.104166666666667
0,-1,1,4,0.625,0.145833333333333
0,-1,1,5,0.625,0.25
0,-1,1,6,0.708333333333333,0.291666666666667
0,-1,1,7,0.6875,0.375
0,-1,1,8,0.6875,0.583333333333333
0,-1,2,1,-1,0.18925831202046
0,-1,2,2,0.446428571428571,0.142857142857143
0,-1,2,3,0.482142857142857,0.107142857142857
0,-1,2,4,0.589285714285714,0.303571428571429
0,-1,2,5,0.642857142857143,0.410714285714286
0,-1,2,6,0.660714285714286,0.5
0,-1,2,7,0.696428571428571,0.589285714285714
0,-1,2,8,0.857142857142857,0.785714285714286
0,-1,3,1,-1,0.101190476190476
0,-1,3,2,0.5625,0.0625
0,-1,3,3,0.541666666666667,0.1875
0,-1,3,4,0.479166666666667,0.25
0,-1,3,5,0.520833333333333,0.208333333333333
0,-1,3,6,0.541666666666667,0.4375
0,-1,3,7,0.666666666666667,0.458333333333333
0,-1,3,8,0.604166666666667,0.729166666666667
0,-1,4,1,-1,0.0148809523809524
0,-1,4,2,0.458333333333333,0
0,-1,4,3,0.520833333333333,0.0208333333333333
0,-1,4,4,0.5625,0
0,-1,4,5,0.583333333333333,0
0,-1,4,6,0.645833333333333,0
0,-1,4,7,0.604166666666667,0.0625
0,-1,4,8,0.75,0.291666666666667
0,-1,5,1,-1,0.00297619047619048
0,-1,5,2,0.5,0
0,-1,5,3,0.645833333333333,0.145833333333333
0,-1,5,4,0.645833333333333,0.333333333333333
0,-1,5,5,0.5625,0.3125
0,-1,5,6,0.708333333333333,0.583333333333333
0,-1,5,7,0.729166666666667,0.5625
0,-1,5,8,0.708333333333333,0.833333333333333
0,-1,6,1,-1,0.0821428571428571
0,-1,6,2,0.45,0.05
0,-1,6,3,0.625,0.15
0,-1,6,4,0.575,0.075
0,-1,6,5,0.65,0.1
0,-1,6,6,0.625,0.15
0,-1,6,7,0.625,0.175
0,-1,6,8,0.7,0.25
0,-1,7,1,-1,0.0267857142857143
0,-1,7,2,0.583333333333333,0.0833333333333333
0,-1,7,3,0.625,0.0208333333333333
0,-1,7,4,0.75,0.333333333333333
0,-1,7,5,0.604166666666667,0.25
0,-1,7,6,0.666666666666667,0.333333333333333
0,-1,7,7,0.625,0.3125
